,id,input_text,target_text,raw_prediction,processed_prediction
0,705_batch_2,"The Democrats New America
"," [i-15]  [i-10] The Democrats New America [o-15]  [o-10] 
",The Democrats New America ,"{'id': '<UNKNOWN>', 'article': 'The Democrats New America\n', 'fragments': []}"
1,706_batch_2,"WE ARE AT WAR!

There is a complex assault on our presidential election
with all the multifaceted tentacles of a terrorist organization and operation

2020
TERRORISM
"," [i-1] WE ARE AT  [i-8] WAR [o-8] !

There is a complex  [i-8] assault on our presidential election [o-8] 
with all the  [i-8]  [i-10] multifaceted tentacles [o-10]  of a terrorist organization and operation [o-8]  [o-1] 

2020
 [i-8] TERRORISM [o-8] 
","WE ARE AT WAR!

There is a complex assault on our presidential election
with all the multifaceted tentacles of a terrorist organization and operation 

2020
TERRORISM

","{'id': '<UNKNOWN>', 'article': 'WE ARE AT WAR!\n\nThere is a complex assault on our presidential election\nwith all the multifaceted tentacles of a terrorist organization and operation\n\n2020\nTERRORISM\n', 'fragments': []}"
2,710_batch_2,"KILLED HIMSELF IN PRISON

WON AN HONEST ELECTION
"," [i-8] KILLED HIMSELF IN PRISON [o-8] 

WON AN  [i-10] HONEST ELECTION [o-10] 
"," [i-8]  KILLED HIMSELF IN PRISON
WON AN HONEST ELECTION

","{'id': '<UNKNOWN>', 'article': 'KILLED HIMSELF IN PRISON\n\nWON AN HONEST ELECTION\n', 'fragments': []}"
3,713_batch_2,"I will never concede!

NO WAY IN HELL BIDEN WON!
","I will never concede!

 [i-8]  [i-5] NO WAY IN HELL [o-8]  BIDEN WON! [o-5] 
","  I will never concede!
NO WAY IN HELL BIDEN WON!

","{'id': '<UNKNOWN>', 'article': 'I will never concede!\n\nNO WAY IN HELL BIDEN WON!\n', 'fragments': []}"
4,715_batch_2,"TRYING TO FIGURE OUT HOW BIDEN WON A RECORD LOW OF ONLY 16.7% OF ALL U.S. COUNTIES

YET SUPPOSEDLY WON THE ELECTION WITH THE MOST VOTES IN HISTORY

"," [i-4] TRYING TO FIGURE OUT HOW BIDEN WON A RECORD LOW OF ONLY 16.7% OF ALL U.S. COUNTIES

YET SUPPOSEDLY WON THE ELECTION WITH THE MOST VOTES IN HISTORY [o-4] 

","TRYING TO FIGURE OUT HOW BIDEN WON A RECORD LOW OF ONLY 16.7% OF ALL U.S. COUNTIES
YET SUPPOSEDLY WON THE ELECTION WITH THE MOST VOTES IN HISTORY ","{'id': '<UNKNOWN>', 'article': 'TRYING TO FIGURE OUT HOW BIDEN WON A RECORD LOW OF ONLY 16.7% OF ALL U.S. COUNTIES\n\nYET SUPPOSEDLY WON THE ELECTION WITH THE MOST VOTES IN HISTORY\n\n', 'fragments': []}"
5,716_batch_2,"HYPOCRISY MUCH?!
Macy's Thanksgiving Day Parade to March On Despite Pandemic

Businesses Are Closing Permanently, People Are Losing Everything!
Let's Have A Parade!
"," [i-8]  [i-16] HYPOCRISY [o-8]  MUCH?!
 [i-18] Macy's Thanksgiving Day Parade to March On Despite Pandemic

Businesses Are Closing Permanently, People Are Losing Everything! [o-18]  [o-16] 
Let's Have A Parade!
","HYPOCRISY MUCH?!
Macy's Thanksgiving Day Parade to March On Despite Pandemic
Businesses Are Closing Permanently, People Are Losing Everything!

Let's Have A Parade!
","{'id': '<UNKNOWN>', 'article': ""HYPOCRISY MUCH?!\nMacy's Thanksgiving Day Parade to March On Despite Pandemic\n\nBusinesses Are Closing Permanently, People Are Losing Everything!\nLet's Have A Parade!\n"", 'fragments': []}"
6,720_batch_2,WHEN TRUMP IS REELECTED THERE WILL BE BLOOD!,WHEN TRUMP IS REELECTED [i-8]  [i-1]  THERE WILL BE BLOOD [o-8]  [o-1] !,WHEN TRUMP IS REELECTED THERE WILL BE BLOOD!,"{'id': '<UNKNOWN>', 'article': 'WHEN TRUMP IS REELECTED THERE WILL BE BLOOD!', 'fragments': []}"
7,722_batch_2,"People are so quick to forget.

Wedding bands that were removed from Holocaust victims prior to being executed, 1945. 
Each ring represents a destroyed family. 
Never forget, Nazis tore down statues.
Banned free speech.
Blamed economic hardships on one group of people. Instituted gun control.
Sound Familiar?","People are so quick to forget.

Wedding bands that were removed from  [i-8] Holocaust victims [o-8]  prior to being  [i-8] executed [o-8] , 1945. 
Each ring represents a  [i-8] destroyed family [o-8] . 
 [i-13] Never forget, Nazis tore down statues.
 [i-8] Banned free speech [o-8] .
Blamed economic hardships on one group of people.  [i-8] Instituted gun control [o-8] .
Sound Familiar? [o-13] ","People are so quick to forget.
Wedding bands that were removed from Holocaust victims prior to being executed, 1945. 
Each ring represents a destroyed family. [i-8]Never forget, Nazis tore down statues.
Banned free speech.
Blamed economic hardships on one group of people. Instituted gun control.
Sound Familiar?","{'id': '<UNKNOWN>', 'article': 'People are so quick to forget.\n\nWedding bands that were removed from Holocaust victims prior to being executed, 1945. \nEach ring represents a destroyed family. \nNever forget, Nazis tore down statues.\nBanned free speech.\nBlamed economic hardships on one group of people. Instituted gun control.\nSound Familiar?', 'fragments': []}"
8,723_batch_2,FAKE WINNER, [i-10] FAKE WINNER [o-10] ,FAKE WINNER [i-8],"{'id': '<UNKNOWN>', 'article': 'FAKE WINNER', 'fragments': []}"
9,724_batch_2,"""We put together I think the most extensive and inclusive voter fraud organization in the history of American politics.""
-Joe Biden"," [i-11] ""We put together I think  [i-10]  [i-5] the most extensive and inclusive  [i-8] voter fraud [o-8]  organization in the history of American politics [o-10]  [o-5] .""
-Joe Biden [o-11] ","""We put together I think the most extensive and inclusive voter fraud organization in the history of American politics."" [i-8]-Joe Biden","{'id': '<UNKNOWN>', 'article': '""We put together I think the most extensive and inclusive voter fraud organization in the history of American politics.""\n-Joe Biden', 'fragments': []}"
